14D.AX	1414 Degrees Limited
1AD.AX	Adalta Limited
1AE.AX	Aurora Energy Metals Limited
1AI.AX	Algorae Pharmaceuticals Limited
1AIO.AX	1AIO
1CG.AX	One Click Group Limited
1CGO.AX	1CGO
1MC.AX	Morella Corporation Limited
1TT.AX	Thrive Tribe Technologies Limited
29M.AX	29metals Limited
360.AX	Life360 Inc.
360KOA.AX	360KOA
360KOB.AX	360KOB
360KOC.AX	360KOC
360KOD.AX	360KOD
360KOE.AX	360KOE
3DA.AX	Amaero International Ltd
3DAO.AX	3DAO
3DP.AX	Pointerra Limited
3PL.AX	3p Learning Limited..
4DS.AX	4ds Memory Limited
4DX.AX	4dmedical Limited
4DXO.AX	4DXO
5EA.AX	5e Advanced Materials Inc.
5GG.AX	Pentanet Limited
5GN.AX	5g Networks Limited
88E.AX	88 Energy Limited
88EOA.AX	88EOA
8CO.AX	8common Limited
8IH.AX	8i Holdings Ltd
8VI.AX	8vic Holdings Limited
A11.AX	Atlantic Lithium Limited
A1G.AX	African Gold Limited
A1M.AX	Aic Mines Limited
A1N.AX	Arn Media Limited
A200.AX	A200
A2M.AX	The A2 Milk Company Limited
A2MKOA.AX	The A2 Milk Company Limited
A2MKOB.AX	The A2 Milk Company Limited
A2MKOD.AX	The A2 Milk Company Limited
A2MKOF.AX	The A2 Milk Company Limited
A2MKOP.AX	The A2 Milk Company Limited
A2MKOQ.AX	The A2 Milk Company Limited
A2MKOS.AX	The A2 Milk Company Limited
A2MKOV.AX	A2MKOV
A3D.AX	Aurora Labs Limited
A4N.AX	Alpha Hpa Limited
A8G.AX	Australasian Gold Limited
AAA.AX	Betashares Australian High Interest Cash
AAC.AX	Australian Agricultural Company Ltd
AAI.AX	Alcoa Inc (USA CUFS)
AAJ.AX	Aruma Resources Limited
AAJO.AX	AAJO
AAL.AX	Apac Coal Ltd
AAM.AX	A1 Minerals Ltd
AAP.AX	Australian Agricultural Projects Limited
AAR.AX	Anglo Australian Resources NL
AARO.AX	Astral Resources Nl
AASF.AX	AASF
AAU.AX	Adcorp Australia Ltd
AAUO.AX	AAUO
AAUOC.AX	AAUOC
ABA.AX	Auswide Bank Ltd
ABB.AX	Aussie Broadband Ltd
ABE.AX	Australian Bond Exchange Holdings Limited
ABG.AX	Abigroup
ABV.AX	Advanced Braking Technology Ltd
ABX.AX	Abelle Ltd
ABXO.AX	Abelle
ABY.AX	Adore Beauty Group Ltd
ACDC.AX	Etfs Battery Tech & Lithium
ACE.AX	Advanced Engine Components Ltd
ACF.AX	Acumen Capital Property Securities Fund
ACL.AX	Alchemia Ltd
ACM.AX	Australian Critical Minerals Limited
ACMOA.AX	ACMOA
ACP.AX	Audalia Resources Limited
ACQ.AX	Acorn Capital Investment Fund Limited
ACR.AX	Acrux Ltd
ACS.AX	Accent Resources NL
ACU.AX	Acuvax Limited
ACW.AX	Actinogen Ltd
ACWOC.AX	ACWOC
AD1.AX	Applydirect Limited
AD8.AX	Audinate Group Limited
ADA.AX	Adacel Technologies Ltd
ADC.AX	Acdc Metals Ltd
ADCO.AX	ADCO
ADD.AX	Adavale Resources Ltd
ADDOA.AX	ADDOA
ADEF.AX	ADEF
ADG.AX	Adtrans Group Ltd
ADGO.AX	ADGO
ADGOA.AX	ADGOA
ADH.AX	Adairs Limited
ADN.AX	Adelaide Resources Ltd
ADNOC.AX	ADNOC
ADO.AX	
ADOO.AX	Anteo Diagnostics Limited
ADR.AX	Adherium Limited
ADS.AX	ADV Group Ltd
ADT.AX	Advent Ltd
ADV.AX	Australian Development Capital Fund
ADX.AX	Audax Resources Ltd
ADXO.AX	ADXO
ADY.AX	Admiralty Resources NL
AEE.AX	Aura Energy Ltd
AEEOC.AX	AEEOC
AEF.AX	Australian Ethical Investments Ltd
AEI.AX	Aeris Technologies Ltd
AER.AX	Aeeris Ltd
AESG.AX	AESG
AEV.AX	Avenira Limited
AEVO.AX	Avenira Limited
AFA.AX	ASF Group Ltd
AFG.AX	Allco Finance Group Ltd
AFI.AX	Australian Foundation Invest Ltd
AFL.AX	Australian Pure Fruits Ltd
AFP.AX	Aft Pharmaceuticals Limited
AGC.AX	Agincourt Resources Ltd
AGD.AX	Austral Gold Ltd
AGE.AX	Alligator Energy Limited
AGEOC.AX	AGEOC
AGH.AX	Australian Growth Properties
AGI.AX	Ainsworth Game Technology Ltd
AGL.AX	AGL Energy Limited
AGLKOA.AX	Agl Energy Limited.
AGLKOB.AX	Agl Energy Limited.
AGLKOC.AX	Agl Energy Limited.
AGLKOP.AX	Agl Energy Limited.
AGN.AX	Argenica Therapeutics Limited
AGR.AX	Aguia Resources Limited
AGVT.AX	AGVT
AGX1.AX	AGX1
AGY.AX	Argosy Minerals Inc (CUFS)
AHC.AX	AHC Ltd
AHF.AX	Australian Dairy Farms Group
AHI.AX	Allco Hit Ltd
AHK.AX	Ark Mines Limited
AHL.AX	Ahalife Holdings Limited
AHN.AX	Athena Resources Ltd
AHNO.AX	AHNO
AHX.AX	Apiam Animal Health Limited
AI1.AX	Adisyn Ltd
AIA.AX	Auckland International Airport Ltd
AII.AX	ABRA Mining Ltd
AIM.AX	Aim Resources Ltd
AIQ.AX	Alternative Investment Trust
AIS.AX	Automotive Industrial & Mining Supplies
AIV.AX	Activex Ltd
AIZ.AX	Air New Zealand Ltd
AJL.AX	AJ Lucas Group Ltd
AJX.AX	Alexium International Group Limited
AKG.AX	AKG
AKM.AX	Aspire Mining Limited
AKN.AX	Auking Mining Limited
AKO.AX	Akora Resources Limited
AKP.AX	Audio Pixels Holdings Limited
AL3.AX	Aml3d Limited
AL8.AX	Alderan Resources Limited
AL8OA.AX	Alderan Resources Limited
ALA.AX	Applabs Technologies Ltd
ALB.AX	Albidon Ltd
ALC.AX	Alcidion Group Limited
ALD.AX	Allied Gold Ltd
ALDKOA.AX	ALDKOA
ALDKOB.AX	ALDKOB
ALDKOD.AX	ALDKOD
ALDKOP.AX	ALDKOP
ALDKOQ.AX	Ampol Limited
ALDKOS.AX	ALDKOS
ALI.AX	Argo Global Listed Infrastructure Limited
ALK.AX	Alkane Exploration Ltd
ALL.AX	Aristocrat Leisure Ltd
ALLKOA.AX	Aristocrat Leisure Limited
ALLKOB.AX	Aristocrat Leisure Limited
ALLKOE.AX	Aristocrat Leisure Limited
ALLKOG.AX	Aristocrat Leisure Limited
ALLKOP.AX	Aristocrat Leisure Limited
ALLKOQ.AX	Aristocrat Leisure Limited
ALLKOT.AX	Aristocrat Leisure Limited
ALLKOU.AX	Aristocrat Leisure Limited
ALM.AX	Australis Media Ltd broke
ALQ.AX	Als Limited
ALQKOD.AX	Als Limited
ALQKOE.AX	Als Limited
ALQKOF.AX	Als Limited
ALQKOP.AX	Als Limited
ALQKOQ.AX	Als Limited
ALQKOR.AX	Als Limited
ALQKOS.AX	Als Limited
ALR.AX	Aberdeen Leaders Ltd
ALROB.AX	ALROB
ALTB.AX	ALTB
ALV.AX	Alvo Minerals Limited
ALX.AX	Allstate Explorations NL
ALXKOA.AX	Atlas Arteria
ALXKOB.AX	Atlas Arteria
ALXKOQ.AX	Atlas Arteria
ALXKOR.AX	Atlas Arteria
ALXKOS.AX	Atlas Arteria
ALY.AX	Alchemy Resources Ltd
AM7.AX	Arcadia Minerals Limited
AMA.AX	Allomak Ltd
AMC.AX	Amcor Ltd
AMCKOA.AX	Amcor Limited
AMCKOC.AX	Amcor Limited
AMCKOG.AX	Amcor Plc
AMCKOP.AX	Amcor Limited
AMCKOS.AX	Amcor Limited
AMD.AX	Arrow Minerals Ltd
AME.AX	Austmet Resources Ltd
AMH.AX	AMCIL Ltd
AMI.AX	Aurelia Metals Limited
AML.AX	AMRAD Corporation Ltd
AMM.AX	Amcom Telecommunications Ltd
AMN.AX	Agrimin Limited
AMO.AX	Ambertech Ltd
AMP.AX	AMP Ltd
AMPKOA.AX	Amp Limited
AMPKOB.AX	Amp Limited
AMPKOC.AX	Amp Limited
AMPKOD.AX	Amp Limited
AMPKOG.AX	Amp Limited
AMPKOR.AX	Amp Limited
AMPKOS.AX	Amp Limited
AMPKOT.AX	Amp Limited
AMPKOV.AX	Amp Limited
AMPLOA.AX	Amp Limited
AMPPB.AX	Amp Limited
AMS.AX	Allied Mining & Processing Nl
AMSO.AX	AMSO
AMT.AX	Advanced Surgical Design & Manufacture Ltd
AMX.AX	Ampella Mining Ltd
AN1.AX	Anagenics Limited
AN3PH.AX	AN3PH
AN3PI.AX	AN3PI
AN3PJ.AX	AN3PJ
AN3PK.AX	AN3PK
AN3PL.AX	AN3PL
ANG.AX	Austin Engineering Ltd
ANL.AX	Anaconda Nickel Nl
ANN.AX	Ansell Ltd
ANNKOA.AX	Ansell Limited
ANNKOB.AX	Ansell Limited
ANNKOP.AX	Ansell Limited
ANO.AX	Advanced Nanotechnology Ltd
ANR.AX	Anatara Lifesciences Ltd
ANX.AX	Anadis Ltd
ANZ.AX	Australia & NZ Banking Group Ltd
ANZKOA.AX	Australia And New Zealand Banking Group Limited
ANZKOC.AX	Australia And New Zealand Banking Group Limited
ANZKOE.AX	Australia And New Zealand Banking Group Limited
ANZKOH.AX	Australia And New Zealand Banking Group Limited
ANZKOM.AX	Australia And New Zealand Banking Group Limited
ANZKOP.AX	Australia And New Zealand Banking Group Limited
ANZKOR.AX	Australia And New Zealand Banking Group Limited
ANZKOU.AX	Australia And New Zealand Banking Group Limited
ANZKOV.AX	Australia And New Zealand Banking Group Limited
ANZKOW.AX	Australia And New Zealand Banking Group Limited
ANZKOX.AX	Australia And New Zealand Banking Group Limited
ANZMOB.AX	Australia And New Zealand Banking Group Limited
ANZMOU.AX	ANZMOU
AO1.AX	Assetowl Limited
AOA.AX	
AOF.AX	AMP Office Trust
AOK.AX	Austex Oil Ltd
AON.AX	Apollo Minerals Ltd
AOV.AX	Amotiv Limited
AOVKOA.AX	AOVKOA
AOVKOC.AX	AOVKOC
APA.AX	Australian Pipeline Trust
APAKOA.AX	Apa Group
APAKOE.AX	APAKOE
APAKOQ.AX	Apa Group
APAKOR.AX	Apa Group
APC.AX	Australian Potash Limited
APCO.AX	APCO
APE.AX	AP Eagers Holdings Ltd
APL.AX	Australian Plantation Timber Ltd
APM.AX	Australian Institute of Prop Managmnt
APS.AX	Allup Silica Limited
APW.AX	Aims Property Securities Fund
APX.AX	Appen Limited
APZ.AX	Aspen Group
AQC.AX	Australian Pacific Coal Limited
AQD.AX	AusQuest Ltd
AQI.AX	Alicanto Minerals Limited
AQLT.AX	AQLT
AQN.AX	Aquirian Limited
AQX.AX	Alice Queen Limited
AQXOA.AX	AQXOA
AQXOC.AX	AQXOC
AQZ.AX	Alliance Aviation Services Limited
AR1.AX	Arrowhead Resources Limited
AR3.AX	Australian Rare Earths Limited
