<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAA,20240919,25.11,25.11,25.04,25.06,3000
AAAU,20240919,25.51,25.6399,25.4151,25.6,2739300
AAPR,20240919,26.12,26.16,26.12,26.1543,1700
AAPX,20240919,32.46,33.79,32.46,33.575,19200
AAPY,20240919,27.74,27.88,27.6101,27.6883,2400
ABEQ,20240919,32.63,32.67,32.03,32.03,14800
ABNY,20240919,16.4399,16.4399,16.35,16.4289,9000
ACES,20240919,29.57,29.57,28.93,28.9804,8600
ACIO,20240919,39.56,39.84,39.4592,39.64,171700
ACSI,20240919,57.7,57.83,57.5166,57.5166,600
ACTV,20240919,33.81,34.025,33.681,33.71,9400
ACU,20240919,42,42.75,41.54,42.64,18500
ACVF,20240919,43.34,43.4898,43.2701,43.3222,6700
ACWV,20240919,113.96,113.96,113.23,113.51,146200
ADFI,20240919,8.8,8.82,8.79,8.82,10800
ADIV,20240919,15.54,15.54,15.525,15.525,500
ADME,20240919,45.84,46.12,45.84,45.9849,5800
ADPV,20240919,32.1,32.3,32.1,32.256,900
ADR.S,20240919,13.18,14,12.1,12.1,5100
ADRT,20240919,12.31,12.45,12.01,12.01,1500
ADVE,20240919,35.0152,35.0152,35.0152,35.0152,100
AE,20240919,24.8,25.7292,24.4,25.56,4200
AEF,20240919,5.42,5.469,5.399,5.46,26400
AEON,20240919,0.7228,0.7228,0.669,0.669,88000
AESR,20240919,16.78,16.92,16.78,16.859,34900
AETH,20240919,31.539,32,31.3399,31.7488,6500
AFIF,20240919,9.21,9.21,9.1701,9.21,65100
AFK,20240919,16.88,16.88,16.47,16.82,11000
AFLG,20240919,33.69,33.77,33.612,33.69,14900
AFMC,20240919,31.87,31.9834,31.83,31.9834,700
AFSM,20240919,30.8599,30.97,30.8001,30.97,11300
AFTY,20240919,13.6,13.64,13.57,13.6091,2300
AGG,20240919,101.41,101.6101,101.3701,101.57,5079800
AGGH,20240919,21.81,21.98,21.7787,21.98,233500
AGGS,20240919,42.635,42.635,42.62,42.6275,300
AGGY,20240919,44.97,45.036,44.94,45.01,69400
AGIH,20240919,25.2121,25.2121,25.2121,25.2121,100
AGOX,20240919,28.93,29.15,28.66,28.66,25600
AGQ,20240919,40.21,40.6,39.28,39.81,2332000
AGQI,20240919,14.66,14.715,14.59,14.7059,5600
AGRH,20240919,25.945,25.955,25.85,25.955,2700
AGZ,20240919,110.5,110.5899,110.47,110.52,9700
AHLT,20240919,23.166,23.26,23.16,23.1616,9500
AHOY,20240919,25.2403,25.2403,25.2403,25.2403,100
