<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AEDAUD,20241114,0.4176,0.4217,0.4176,0.4208,0
AEDCAD,20241114,0.3801,0.3816,0.3801,0.3815,0
AEDCHF,20241114,0.2402,0.2425,0.2402,0.2422,0
AEDDKK,20241114,1.9215,1.9286,1.9215,1.9255,0
AEDEUR,20241114,0.2576,0.2586,0.2576,0.2582,0
AEDGBP,20241114,0.2138,0.2155,0.2138,0.2149,0
AEDINR,20241114,22.98,23.001,22.978,22.991,0
AEDJPY,20241114,42.132,42.527,42.132,42.462,0
AEDNOK,20241114,3.0295,3.0406,3.0295,3.0354,0
AEDNZD,20241114,0.4597,0.4652,0.4597,0.4641,0
AEDPKR,20241114,75.674,75.703,75.674,75.703,0
AEDSAR,20241114,1.023,1.023,1.0225,1.0225,0
AEDSEK,20241114,2.9888,3.0037,2.9888,2.9977,0
AEDUSD,20241114,0.2723,0.2723,0.2723,0.2723,0
AEDZAR,20241114,4.9645,5.0082,4.9451,4.9672,0
ALLGBP,20241114,0.0085,0.0085,0.0085,0.0085,0
ARSAUD,20241114,0.0015,0.0016,0.0015,0.0015,0
ARSBRL,20241114,0.0058,0.0059,0.0058,0.0058,0
ARSCAD,20241114,0.0014,0.0014,0.0014,0.0014,0
ARSCHF,20241114,0.0009,0.0009,0.0009,0.0009,0
ARSEUR,20241114,0.0009,0.001,0.0009,0.0009,0
ARSGBP,20241114,0.0008,0.0008,0.0008,0.0008,0
ARSHKD,20241114,0.0078,0.0078,0.0078,0.0078,0
ARSJPY,20241114,0.156,0.156,0.156,0.156,0
ARSMXN,20241114,0.0206,0.0207,0.0203,0.0204,0
ARSSGD,20241114,0.0014,0.0014,0.0013,0.0013,0
ARSUSD,20241114,0.001,0.001,0.001,0.001,0
ARSZAR,20241114,0.0183,0.0184,0.0182,0.0182,0
AUDAED,20241114,2.38,2.38,2.37,2.38,0
AUDARS,20241114,647.9896,648.0529,644.7931,647.2358,0
AUDBRL,20241114,3.7668,3.7817,3.7353,3.7356,0
AUDCAD,20241114,0.9078,0.9094,0.9046,0.9074,0
AUDCHF,20241114,0.575,0.5759,0.5733,0.5746,0
AUDCNH,20241114,4.7031,4.7041,4.6743,4.6799,0
AUDCNY,20241114,4.6888,4.694,4.663,4.6655,0
AUDCZK,20241114,15.535,15.56,15.483,15.496,0
AUDDKK,20241114,4.5793,4.5862,4.568,4.5707,0
AUDEUR,20241114,0.6139,0.6149,0.6124,0.6128,0
AUDFJD,20241114,1.4748,1.475,1.4718,1.4722,0
AUDGBP,20241114,0.5108,0.5113,0.5091,0.5095,0
AUDHKD,20241114,5.0461,5.0508,5.0133,5.0201,0
AUDHUF,20241114,250.6,251.09,248.7,249.07,0
AUDIDR,20241114,10302.4,10337.8,10253.1,10314.1,0
AUDILS,20241114,2.4373,2.4374,2.4112,2.4129,0
AUDINR,20241114,54.754,54.799,54.528,54.729,0
AUDJPY,20241114,100.989,101.174,100.692,101.033,0
AUDKRW,20241114,911.23,912.84,905.7,905.79,0
AUDMXN,20241114,13.3303,13.3749,13.1662,13.2047,0
AUDMYR,20241114,2.8996,2.9036,2.8788,2.8832,0
AUDNOK,20241114,7.2231,7.2314,7.1841,7.1953,0
AUDNZD,20241114,1.1044,1.1049,1.1017,1.1036,0
AUDPHP,20241114,38.183,38.183,37.957,38.07,0
AUDPKR,20241114,180.467,180.467,179.98,179.989,0
AUDPLN,20241114,2.6675,2.6703,2.648,2.6493,0
AUDSEK,20241114,7.1244,7.1433,7.0891,7.0964,0
AUDSGD,20241114,0.872,0.872,0.8676,0.8686,0
AUDTHB,20241114,22.685,22.696,22.54,22.557,0
AUDTRY,20241114,22.2966,22.3871,22.1173,22.364,0
AUDTWD,20241114,21.072,21.125,20.99,21.002,0
AUDUSD,20241114,0.6485,0.6493,0.6441,0.6451,0
AUDZAR,20241114,11.8432,11.8807,11.7621,11.795,0
AWGUSD,20241114,0.5551,0.5556,0.5551,0.5556,0
BDTGBP,20241114,0.0066,0.0066,0.0066,0.0066,0
BDTJPY,20241114,1.2953,1.3057,1.2951,1.3057,0
BGNCNY,20241114,3.9019,3.9088,3.8941,3.9055,0
BGNDKK,20241114,3.814,3.814,3.8134,3.8134,0
BGNUSD,20241114,0.5422,0.5422,0.5384,0.5384,0
BHDEUR,20241114,2.5076,2.5203,2.5076,2.5193,0
BHDPKR,20241114,737.48,737.71,737.48,737.71,0
BHDUSD,20241114,2.6534,2.6536,2.6533,2.6535,0
BNDGBP,20241114,0.5867,0.5874,0.5865,0.5874,0
BRLARS,20241114,171.8925,173.4033,170.2876,173.2475,0
BRLAUD,20241114,0.2651,0.2679,0.2637,0.2676,0
BRLCAD,20241114,0.2411,0.2431,0.2394,0.2429,0
BRLCHF,20241114,0.1525,0.154,0.1517,0.1538,0
BRLEUR,20241114,0.163,0.1642,0.1625,0.164,0
BRLHKD,20241114,1.3398,1.3483,1.3296,1.344,0
BRLJPY,20241114,26.786,27.036,26.599,27.029,0
