<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
0A0C.L,20241128,19.3,19.34,19.06,19.26,3208
0A5J.L,20241128,37.1,37.25,36.35,37.075,15146
0AA3.L,20241128,98.5,98.9,96.45,98.1,229
0ACY.L,20241128,7.426,7.578,7.426,7.5238,54380
0AH7.L,20241128,9.17,9.25,9.1,9.17,24
0AI4.L,20241128,736.9,736.9,729,736.9,12011
0APM.L,20241128,24.9,25.15,24.8,24.8,756
0B67.L,20241128,15.665,15.725,15.565,15.665,17256
0BJP.L,20241128,2.621,2.714,2.612,2.654,129626
0BNS.L,20241128,18.82,18.82,18.74,18.82,687
0BNT.L,20241128,19.045,19.05,18.89,19.03,15261
0BQE.L,20241128,614,614,606,606,4859
0CIJ.L,20241128,2.12,2.13,2.11,2.12,4312
0CXC.L,20241128,9.286,9.346,9.22,9.287,28591
0D53.L,20241128,138,138,136,136,45
0DGZ.L,20241128,5.08,5.08,5.08,5.08,1
0DH7.L,20241128,137.6,138.8,137.6,138.8,187
0DHC.L,20241128,58.8,59.25,56,56.45,2777
0DI7.L,20241128,10.05,10.15,10.05,10.15,4
0DJI.L,20241128,13.465,13.495,13.42,13.495,1653
0DJV.L,20241128,5.015,5.035,4.982,5.015,3551
0DK7.L,20241128,12.65,12.7,12.65,12.7,2
0DK9.L,20241128,76.7,77.5,76.7,77.1,26
0DKX.L,20241128,58.1,58.3,57.9,58.2,10600
0DLI.L,20241128,17.58,17.58,17.46,17.48,8
0DLT.L,20241128,127.91,128.42,127.44,127.87,10
0DME.L,20241128,2.785,2.785,2.785,2.785,132
0DMM.L,20241128,231.2051,231.2051,231.2051,231.2051,200
0DMT.L,20241128,144.42,144.434,144.42,144.42,244
0DNH.L,20241128,1.5,1.735,0.76,0.76,7523998
0DNW.L,20241128,101,101.1,100.4013,101,1540
0DO6.L,20241128,71.955,73.02,71.62,72.67,305
0DOS.L,20241128,87.3502,87.3502,87.3502,87.3502,92
0DPB.L,20241128,192.05,196.05,191.65,192.25,2525
0DPM.L,20241128,31.67,32.08,31.48,31.51,19324
0DPU.L,20241128,6.3,6.3,6,6.0925,49050
0DQ7.L,20241128,124.3,124.4,123.3,123.65,11479
0DQB.L,20241128,17.86,18.56,17.86,18.52,7183
0DQZ.L,20241128,43.61,43.98,43.61,43.75,7258
0DST.L,20241128,302.5,304.403,302.5,303.925,521
0DT1.L,20241128,388,388,388,388,0
0DTF.L,20241128,27,27,27,27,0
0DTI.L,20241128,264.5,267.5,264.5,264.5,25
0DTK.L,20241128,53,53,53,53,100
0DUI.L,20241128,5.32,5.32,5.32,5.32,25
0DUK.L,20241128,7.465,7.475,7.45,7.475,158
0DVE.L,20241128,3.205,3.255,3.185,3.22,3661
0DWV.L,20241128,202.5,207,202.5,207,34
0DXU.L,20241128,40.6,40.6,40.4945,40.4945,2849
0DXV.L,20241128,38.1675,38.175,38.102,38.1175,9
0DZ0.L,20241128,487.7,487.7,479.8,485.9,534
0DZC.L,20241128,25.075,25.3,25.075,25.175,96
0DZP.L,20241128,29.9406,29.9406,29.8301,29.8609,24815
0DZW.L,20241128,3569.4807,3571.6901,3564.5213,3564.9787,15085
0E0L.L,20241128,26.5925,26.7245,26.5925,26.615,19598
0E16.L,20241128,1466.2,1469.044,663.3,663.3,8
0E1L.L,20241128,1.826,1.832,1.826,1.832,3508
0E1Q.L,20241128,8.5575,8.5954,8.5575,8.562,0
0E2B.L,20241128,105,982.15,104.98,982.15,21875
0E3C.L,20241128,5.045,5.07,5.0375,5.0375,532
0E46.L,20241128,128.76,153.41,128.76,153.41,1
0E4H.L,20241128,15.2371,15.2378,9.553,9.553,27034
0E4J.L,20241128,2.24,2.24,2.24,2.24,20
0E4K.L,20241128,3.979,4.014,3.974,4.014,6502
0E4Q.L,20241128,3.057,3.138,2.884,2.933,188509
0E4X.L,20241128,14.305,14.336,14.305,14.336,235361
0E5M.L,20241128,27.79,28.1,27.79,28.09,335
0E64.L,20241128,163.4,164.2,163.4,163.6,502
0E6H.L,20241128,9.537,9.5591,9.537,9.5591,5641
0E6Y.L,20241128,12.04,12.18,11.96,12.04,695
0E80.L,20241128,0.282,0.29,0.28,0.282,1305
0E9V.L,20241128,42.3,42.5,42,42.4,202
0EBQ.L,20241128,12.86,13.03,12.86,12.92,4365
0ED7.L,20241128,88.66,88.7,69.845,69.845,5
0EEE.L,20241128,81.575,83.15,81.575,82.45,44944
0EEI.L,20241128,24.725,24.8,24.3,24.4,8
0EEV.L,20241128,8.33,8.33,8.33,8.33,1
0EEZ.L,20241128,5.7923,5.7923,5.7923,5.7923,52
0EG8.L,20241128,2.145,2.176,2.145,2.166,5227
0EIB.L,20241128,1.686,1.686,1.671,1.671,12
0EIE.L,20241128,0.744,0.744,0.739,0.74,5939
0EKE.L,20241128,21.125,21.15,20.95,20.95,3
0EKR.L,20241128,40.35,40.35,40.05,40.35,418
0EL9.L,20241128,4.48,5.7,4.48,5.05,457
0ELV.L,20241128,26.4,26.4,26.2,26.2,7
0EOF.L,20241128,42.875,42.875,41.95,42.875,5939
0EOI.L,20241128,4.51,4.51,4.51,4.51,1
0EPW.L,20241128,117,117.3,115.7,115.9,4427
0ERY.L,20241128,9.8,9.8,9.8,9.8,111
0EVB.L,20241128,0.094,0.094,0.093,0.094,6066
0EVI.L,20241128,1.413,1.434,1.413,1.433,567
0EWD.L,20241128,43.13,44.04,43.13,43.52,11308
0EWR.L,20241128,37.4,37.4,37.4,37.4,1
0EXG.L,20241128,18.33,18.46,18.2284,18.33,16105
0EXO.L,20241128,19.258,21,19.236,21,87
0EXP.L,20241128,24.73,25.06,24.73,25.04,1635
0EYG.L,20241128,67.69,68.45,67.64,68.45,11813
0F07.L,20241128,31.475,31.6,31.3,31.475,10
0F08.L,20241128,1300.5,1310,1295,1300.5,8521
0F0J.L,20241128,31.66,31.66,31.66,31.66,7
0F1N.L,20241128,61,61,60,60.2,16
0F1U.L,20241128,10.1,10.1,10.1,10.1,0
0F29.L,20241128,8.25,8.3,8.25,8.28,1434
0F2S.L,20241128,82,82,82,82,0
0F4I.L,20241128,28.46,28.56,28.36,28.5,448555
0F4O.L,20241128,11440,11440,11340,11380,7
0F6L.L,20241128,4.972,4.98,4.9634,4.9634,13581
0F99.L,20241128,52,52,52,52,638
0FA0.L,20241128,55.925,56.4,55.925,56.15,377
0FB0.L,20241128,2.617,2.62,2.53,2.576,8110
0FBS.L,20241128,14.81,14.83,14.8,14.83,18
0FC9.L,20241128,314.15,314.5,311.7,313.05,15847
0FDT.L,20241128,97.325,97.55,96.55,97.025,37177
0FF9.L,20241128,99.03,100.45,99.03,99.03,13020
0FFY.L,20241128,7.365,7.494,7.365,7.455,11892
0FGH.L,20241128,11.0525,11.4,11,11.3225,373022
0FGL.L,20241128,68.5,68.5,68.5,68.5,6322
0FHO.L,20241128,31.2909,31.2909,31.2909,31.2909,44
0FHS.L,20241128,28.75,28.75,28.75,28.75,803
0FI1.L,20241128,15.6192,15.6192,10.65,10.65,1447
0FIN.L,20241128,101.05,101.7,100.3,101.05,36365
0FIZ.L,20241128,14.9998,14.9998,11.5,11.5,22179
0FJ8.L,20241128,3.202,3.222,3.202,3.218,58039
0FJC.L,20241128,8.04,8.18,8.03,8.11,372
0FLE.L,20241128,4.362,4.362,4.3614,4.3614,516
0FM1.L,20241128,2.036,2.086,2.026,2.0455,4329
0FNZ.L,20241128,21.2,21.4,21.2,21.4,24
0FP0.L,20241128,10.1,10.1,10.1,10.1,0
0FQ8.L,20241128,0.0424,0.0424,0.0412,0.0412,7525
0FQI.L,20241128,101.63,102.7,101.6,102.425,342136
0FQN.L,20241128,5.35,5.35,5.35,5.35,3
0FQS.L,20241128,0.354,0.354,0.354,0.354,3
0FRI.L,20241128,9.5,9.6,9.24,9.24,2166
0FRJ.L,20241128,883,893.75,883,893.75,1432
0FS8.L,20241128,4.278,4.278,4.278,4.278,25
0FSO.L,20241128,59.2,72.1,58.8,72.1,89
0FT3.L,20241128,2.53,2.53,2.53,2.53,1
0FWY.L,20241128,579.25,583.5,574.5,579.25,2804
0FXQ.L,20241128,2.815,2.815,2.815,2.815,4373
0G1T.L,20241128,47.475,47.475,47,47.15,2902
0G29.L,20241128,11.5,11.5,11.5,11.5,4
