<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20250108,0.95,0.9792,0.9215,0.9791,24343
AADI,20250108,3.73,3.812,3.45,3.6,533293
AADR,20250108,71.0304,71.41,70.83,71.1445,2945
AAL,20250108,17.56,17.72,17.075,17.6,23077553
AAME,20250108,1.47,1.5236,1.4651,1.52,1582
AAOI,20250108,32.74,34.005,31.8935,32.37,1757108
AAON,20250108,119.98,121.04,118.105,120.19,459321
AAPB,20250108,31.49,31.8463,31.08,31.63,56254
AAPD,20250108,15.84,15.93,15.705,15.765,684019
AAPL,20250108,241.97,243.7123,240.05,242.7,36473385
AAPU,20250108,35,35.57,34.575,35.26,478848
AAXJ,20250108,71.61,71.81,71.455,71.71,2574677
ABAT,20250108,2.081,2.33,1.7201,2.12,6637142
ABCL,20250108,3.26,3.27,2.96,3.03,3603193
ABCS,20250110,28.779,28.662,28.4799,0,1300
ABEO,20250108,6.02,6.02,5.79,5.96,176573
ABL,20250108,7.55,7.56,7.245,7.39,197429
ABLLL,20250108,34.99,34.99,29.52,29.88,39709
ABLLW,20250108,1.02,1.02,1,1,50168
ABLV,20250108,0.9152,1.1579,0.8952,1.03,10821
ABLVW,20250107,0.02,0.02,0.02,0.02,10286
ABNB,20250108,131.2,131.63,130.1,130.8,3000695
ABOS,20250108,1.81,1.81,1.7,1.7,225118
ABSI,20250108,4.08,4.22,3.1,3.22,58988429
ABTS,20250108,0.53,0.53,0.44,0.4465,162444
ABUS,20250108,3.37,3.38,3.215,3.35,869150
ABVC,20250108,0.579,0.579,0.52,0.534,245904
ABVE,20250108,0.51,0.51,0.41,0.4111,346544
ABVEW,20250108,0.0379,0.0379,0.02,0.029,141460
ABVX,20250108,7.03,7.03,6.63,6.68,143636
ACAB,20241112,11.1146,11.1146,5.75,5.77,156199
ACABU,20241112,8.05,8.05,8.05,8.05,1117
ACABW,20241112,0.0441,0.065,0.0441,0.06,199339
ACAD,20250108,17.39,17.64,17.05,17.6,2450802
ACB,20250108,4.61,4.6128,4.33,4.42,627181
ACCD,20250108,6.88,6.92,6.84,6.86,24719502
ACDC,20250108,7.85,7.9,7.62,7.63,212563
ACET,20250108,0.9878,0.9899,0.9212,0.96,438530
ACGL,20250108,92.42,93,91.335,92.66,1595630
ACGLN,20250108,18.12,18.1775,17.91,18.06,42794
