<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20250129,148.99,149.83,146.55,147.09,1583234
AA,20250129,34.32,35.2575,34.385,35.13,5482371
AACT,20250129,11.05,11.0299,11,11.01,617818
AAM,20250129,10.1569,10.16,10.14,10.14,64805
AAP,20250129,48.8,49.265,48.21,48.74,991460
AAT,20250129,24.5,24.5734,23.73,23.77,206382
AB,20250129,40.1,40.4999,39.26,39.44,377310
ABBV,20250129,174.5,176.92,174.3,175.26,2784794
ABCB,20250129,64.61,65.79,64.38,65.21,343691
ABEV,20250129,1.85,1.86,1.805,1.82,46685474
ABG,20250129,272.35,276.17,271.1,274.31,181445
ABM,20250129,52.64,53.345,52.565,53,325930
ABR,20250129,13.36,13.48,13.19,13.38,2020601
ABT,20250129,128.16,129.3,127.63,127.86,7608848
AC,20250129,35.75,36.32,35.97,36.32,4188
ACA,20250129,98.13,100.17,98.2152,99.05,159557
ACCO,20250129,5.25,5.3183,5.22,5.28,479915
ACEL,20250129,11.32,11.38,11.19,11.33,137999
ACHR,20250129,9.18,9.435,8.85,9.04,14587443
ACI,20250129,19.83,20.055,19.82,20.02,2976772
ACM,20250129,105.96,107.73,104.54,104.6,795217
ACN,20250129,379.87,381.9,373.18,374.42,2016178
ACP,20250129,5.98,6.015,5.98,6,516704
ACR,20250129,17.14,17.6,15.64,17.36,14616
ACRE,20250129,5.73,5.73,5.5645,5.64,551060
ACV,20250129,22.78,22.84,22.6301,22.84,20876
ADC,20250129,72.88,73.42,71.62,71.86,933789
ADCT,20250129,1.7,1.725,1.63,1.65,436300
ADM,20250129,50.45,52.11,50.4253,51.66,2548084
ADNT,20250129,18.04,18.81,17.67,18.15,2563635
ADT,20250129,7.58,7.65,7.555,7.6,4706536
ADX,20250129,20.68,20.7386,20.43,20.53,212046
AEE,20250129,93.37,93.91,92.54,92.79,712576
AEFC,20250129,21.3,21.28,20.86,20.97,38466
AEG,20250129,6.57,6.64,6.53,6.54,4160901
AEM,20250129,89.98,91.2986,89.16,90.11,1261704
AEO,20250129,16.64,16.75,16.34,16.4,2077758
AER,20250129,95.12,96.57,95.01,95.82,903298
AES,20250129,11.12,11.26,11.07,11.15,12735142
AESI,20250129,25.09,25.2899,24.53,25.02,903454
AEVA,20250129,4.09,4.28,3.93,4.11,360497
AFB,20250129,11.04,11.03,10.99,11.002,54012
AFG,20250129,136.86,138.62,137.005,137.4,291850
AFGB,20250129,23.01,22.79,22.59,22.75,25316
AFGC,20250129,20.395,20.4325,20.15,20.15,15916
AFGD,20250129,22.09,22.3954,21.96,21.96,18972
AFGE,20250129,18.22,18.22,18.0224,18.07,4882
AFL,20250129,107.26,108.83,106.85,107.62,1239127
AG,20250129,5.34,5.61,5.34,5.54,19218863
AGCO,20250129,105.15,105.8,103.74,103.87,382250
AGD,20250129,10.16,10.16,10.0368,10.07,44139
AGI,20250129,20.49,20.77,20.23,20.53,1283226
AGL,20250129,3.49,3.575,3.365,3.43,2530508
AGM,20250129,198.37,200.13,197.13,198.37,29357
AGO,20250129,93.98,95.39,93.8,94.32,175447
AGR,20241227,35.65,36.15,35.6834,36.02,2917369
AGRO,20250129,9.36,9.58,9.361,9.53,276430
AGS,20250129,12.02,12.02,11.99,11.99,106399
AGX,20250129,135.06,136.71,130.4484,133.18,468654
AHH,20250129,9.72,9.73,9.51,9.58,576242
AHR,20250129,29.46,29.8,28.29,28.45,1103892
AHT,20250129,8.03,8.3049,7.9,7.97,14669
AI,20250129,32.79,32.935,31.17,31.65,3187464
AIFD,20250129,29.93,29.95,29.6205,29.81,25304
AIG,20250129,75.03,76.565,75.03,75.41,2762580
AIN,20250129,79.95,80.66,79.47,79.67,117801
AIO,20250129,24.11,24.1784,23.8919,24.13,109706
AIR,20250129,68.81,68.98,67.91,68.28,165225
AIT,20250129,249.58,264.6,250.83,254.46,551921
AIV,20250129,9.05,9.13,8.92,9.02,1591006
AIZ,20250129,214.36,219.48,214.79,216.91,228164
AIZN,20250129,20.76,21.16,20.76,20.92,8034
AJG,20250129,292,296,291.47,294.1,1593758
AJX,20241202,3.02,3.07,2.97,3.02,224819
AKA,20250129,15.9,16.705,15.79,16.49,17509
AKR,20250129,23.45,23.505,22.74,22.87,969706
AL,20250129,45.6,46.53,45.525,46.09,569539
ALB,20250129,86.33,87.29,85.45,86.28,1475369
ALC,20250129,91.28,91.66,90.82,91.38,1108666
ALE,20250129,65.43,65.57,65.35,65.35,295381
ALEX,20250129,17.89,17.88,17.555,17.65,356758
ALG,20250129,190.27,191.07,187.76,187.76,72693
ALIT,20250129,6.92,6.96,6.81,6.94,4127393
ALK,20250129,71.7,72.88,71.63,72.2,2391652
ALL,20250129,189.97,192.92,189.93,190.81,556064
ALLE,20250129,131.91,132.63,130.92,131,506900
ALLY,20250129,38.95,39.585,38.675,38.91,2305068
ALSN,20250129,116.04,117.2,115.5001,116.34,380614
ALTG,20250129,6.87,7.04,6.82,7.02,113543
ALTM,20250129,5.725,5.76,5.72,5.75,9362464
ALUR,20250129,5.29,6.62,5.25,5.72,1382355
ALV,20250129,100.44,101.635,99.99,101.1,801047
ALX,20250129,190.76,190,185.75,185.75,5564
AM,20250129,15.55,15.845,15.5,15.66,1951404
AMBC,20250129,11.41,11.58,11.27,11.5,260394
AMBP,20250129,2.78,2.795,2.7411,2.76,801297
AMC,20250129,3.3,3.32,3.16,3.21,8730318
AMCR,20250129,9.86,9.885,9.72,9.75,17178987
AME,20250129,183.37,184.41,182.1,182.52,582516
AMG,20250129,188.64,190.53,186.94,187.61,129533
AMH,20250129,35.05,35.18,34.11,34.45,2902039
AMN,20250129,27.47,27.76,26.71,27.22,467700
AMP,20250129,569.44,577.28,566.16,575.13,797901
AMPS,20250129,3.83,3.97,3.765,3.85,766962
AMPX,20250129,3.3,3.34,3.1001,3.18,1943163
AMPY,20250129,5.4,5.53,5.255,5.5,592708
AMR,20250129,184.44,190.755,184.44,189,103064
AMRC,20250129,21.9,22.28,21.48,22.02,272419
AMT,20250129,186.84,187.79,183.12,183.63,1609843
AMT.P,20190628,0,0,0,0,0
AMTB,20250129,22.99,23.46,22.66,23.13,130987
AMTD,20250129,1.02,1.06,0.99,1.02,23107
AMTM,20250129,20.04,20.1283,19.38,19.53,1896908
AMWL,20250129,10.57,11,10.45,11,32729
AMX,20250129,14.16,14.325,14.05,14.27,902763
AN,20250129,187.76,189.66,185.04,187.79,450858
ANET,20250129,107.38,110.45,106.62,107.84,12992108
ANF,20250129,120.78,124.6,120.3,122.61,1309415
ANRO,20250129,4.26,4.5,4.2115,4.23,184579
ANVS,20250129,4.85,5,4.8,4.89,153370
AOD,20250129,8.65,8.65,8.58,8.58,316746
AOMN,20250129,24.93,25.0991,24.98,25.08,11413
AOMR,20250129,10.09,10.155,9.9875,10.05,44095
AON,20250129,370.21,371.51,366.37,366.74,773122
AORT,20250129,31.05,31.59,30.934,31.22,288341
AOS,20250129,69.74,69.865,68.84,69.22,1512968
AP,20250129,2.53,2.5781,2.4,2.41,9069
