<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAUC.TO,20231006,4.4,4.4,4,4.15,72820
AAV.TO,20231006,9.1,9.48,8.94,9.43,381971
ABX.TO,20231006,19.73,20.06,19.73,19.95,2641733
AC.TO,20231006,18.77,19.12,18.69,18.93,1504004
ACB.TO,20231006,0.76,0.78,0.75,0.76,1508995
ACO.X.TO,20231006,34.14,34.64,33.91,34.58,130481
ACO.Y.TO,20231006,33.27,34.36,33.27,34.36,200
ACQ.TO,20231006,22.74,24.55,22.6,24.33,154447
AD.DB.TO,20231006,97.29,97.29,97.01,97.29,26000
AD.UN.TO,20231006,13.1,13.38,12.96,13.38,34354
ADCO.TO,20231006,0.225,0.225,0.225,0.225,2000
ADEN.TO,20231006,29.46,29.6,29.03,29.46,12057
ADN.TO,20231006,16.94,17.12,16.94,16.95,1309
ADW.A.TO,20231006,4.11,4.12,4.1,4.12,12197
AEG.TO,20231006,0.3,0.3,0.29,0.29,1639
AEM.TO,20231006,61.13,61.89,60.69,61.63,670361
AEZS.TO,20231006,3,3,2.78,2.8,4600
AFN.TO,20231006,52.41,53.68,51.63,53.57,43472
AFN.DB.F.TO,20231006,97.86,98.5,97.86,98.5,39000
AFN.DB.G.TO,20231006,97.75,97.75,97.49,97.49,20000
AFN.DB.H.TO,20231006,93.55,93.55,93.55,93.55,10000
AFN.DB.J.TO,20231006,98.99,99,98.99,99,115000
AGF.B.TO,20231006,6.89,6.97,6.77,6.91,73215
AGI.TO,20231006,15.44,15.94,15.44,15.8,470977
AI.TO,20231006,10.37,10.45,10.29,10.4,43622
AI.DB.C.TO,20231006,97.07,97.07,97.07,97.07,1000
AIDX.TO,20231006,0.79,0.81,0.71,0.81,311303
AIF.TO,20231006,48.81,49.53,47.78,48.87,37816
AII.TO,20231006,0.475,0.475,0.455,0.465,19600
AIM.TO,20231006,3.57,3.6,3.51,3.54,117175
AIM.PR.C.TO,20231006,19.25,19.41,18.75,19.35,1100
AKT.A.TO,20231006,1.62,1.66,1.6,1.65,32302
