AAPLu;02/01/24;187,15;188,44;183,885;185,64;80648216
AMGNu;02/01/24;287,28;300,645;287,28;297,39;3374414
AMZNu;02/01/24;151,54;152,38;148,39;149,93;47294600
AXPu;02/01/24;186,49;188,74;186,07;188,31;2236600
BAu;02/01/24;257,28;258,57;250,87;251,76;5799232
CATu;02/01/24;293,43;296,64;291,35;292,71;2432700
CRMu;02/01/24;260,54;260,56;253,77;256,13;4738300
CSCOu;02/01/24;50,49;50,86;50,25;50,51;20240800
CVXu;02/01/24;149,99;151,48;149,24;149,48;8872800
DISu;02/01/24;90,10;91,475;89,7304;90,71;9384813
DOWu;02/01/24;54,74;55,68;54,585;55,33;3533000
GSu;02/01/24;383,00;389,14;382,19;388,30;2243178
HDu;02/01/24;344,21;347,30;343,22;345,08;2833600
HONu;02/01/24;208,86;210,605;208,32;209,00;2924715
IBMu;02/01/24;162,83;163,29;160,46;161,50;3824100
INTCu;02/01/24;49,20;49,38;47,4527;47,80;45280224
JNJu;02/01/24;156,93;161,64;156,79;159,97;9619700
JPMu;02/01/24;169,09;172,17;168,91;172,08;9975800
KOu;02/01/24;58,80;59,88;58,67;59,82;16063015
MCDu;02/01/24;295,05;297,28;295,05;297,04;4454092
MMMu;02/01/24;108,62;110,66;108,45;110,00;2776300
MRKu;02/01/24;109,16;113,32;109,16;113,24;11919600
MSFTu;02/01/24;373,86;375,90;366,77;370,87;25229600
NKEu;02/01/24;107,61;107,85;106,45;106,55;9246806
PGu;02/01/24;146,36;149,41;146,31;148,74;7237700
TRVu;02/01/24;190,20;192,58;190,20;191,42;1754200
UNHu;02/01/24;526,84;539,66;526,67;539,34;3351802
Vu;02/01/24;259,61;260,09;257,67;258,87;5133358
VZu;02/01/24;37,73;38,97;37,68;38,88;23689050
WMTu;02/01/24;52,4167;53,18;52,3967;53,0967;23533200
AAPLu;03/01/24;184,22;185,88;183,43;184,25;56433880
AMGNu;03/01/24;300,05;303,25;297,045;300,69;2762596
AMZNu;03/01/24;149,20;151,05;148,33;148,47;49356600
AXPu;03/01/24;186,68;187,49;185,59;186,32;2720200
BAu;03/01/24;248,32;250,13;243,58;243,91;6068027
CATu;03/01/24;288,39;288,93;283,32;284,30;3043000
CRMu;03/01/24;253,50;254,16;251,77;251,84;5096400
CSCOu;03/01/24;50,17;50,68;49,94;50,51;20302400
CVXu;03/01/24;149,39;153,19;148,68;152,33;10252400
DISu;03/01/24;90,23;92,08;90,00;91,65;10903892
DOWu;03/01/24;54,85;55,08;53,95;54,63;4119500
GSu;03/01/24;383,88;385,395;376,7633;381,79;2238821
