AAPLu;02/01/24;187,15;188,44;183,885;185,64;80648216
ABNBu;02/01/24;134,43;135,60;133,34;134,48;3354551
ADBEu;02/01/24;589,51;590,44;576,76;580,07;2837100
ADIu;02/01/24;197,07;197,07;191,51;193,58;3094513
ADPu;02/01/24;233,38;233,85;231,89;233,42;1955422
ADSKu;02/01/24;240,79;241,20;232,21;234,12;1440000
AEPu;02/01/24;81,00;83,34;80,81;83,18;3429100
AMATu;02/01/24;160,00;160,11;153,4341;154,37;8607329
AMDu;02/01/24;144,28;144,40;137,43;138,58;64902028
AMGNu;02/01/24;287,28;300,645;287,28;297,39;3374414
AMZNu;02/01/24;151,54;152,38;148,39;149,93;47294600
ANSSu;02/01/24;358,75;359,51;349,88;353,00;928410
ASMLu;02/01/24;730,00;730,77;714,14;716,92;1350000
AVGOu;02/01/24;1092,12;1102,00;1077,09;1085,38;2879396
BIIBu;02/01/24;257,56;267,99;256,71;267,71;1084700
BKNGu;02/01/24;3520,00;3531,99;3464,72;3480,56;333400
BKRu;02/01/24;34,43;34,65;33,74;33,93;4721100
CDNSu;02/01/24;269,16;269,20;260,28;262,90;1570000
CDWu;02/01/24;226,18;226,25;219,78;220,67;999715
CHTRu;02/01/24;386,84;393,50;385,06;391,51;948110
CMCSAu;02/01/24;43,562;44,04;43,26;43,67;15917087
COSTu;02/01/24;655,58;657,80;649,50;650,65;2653623
CPRTu;02/01/24;48,80;49,01;47,27;47,51;5160000
CSCOu;02/01/24;50,49;50,86;50,25;50,51;20240800
CSXu;02/01/24;34,64;34,975;34,455;34,62;9042673
CTASu;02/01/24;150,22;150,8925;147,015;147,9775;1395796
CTSHu;02/01/24;75,28;75,36;73,99;74,40;4277800
DASHu;02/01/24;97,80;98,54;95,37;96,46;3368137
DLTRu;02/01/24;142,23;145,09;142,13;142,54;2660000
DXCMu;02/01/24;123,15;126,225;122,41;123,09;2088493
EAu;02/01/24;135,50;136,40;135,21;135,78;1850000
EXCu;02/01/24;35,75;36,67;35,58;36,47;7584600
FANGu;02/01/24;156,57;158,62;156,32;157,01;1400000
FASTu;02/01/24;64,2801;64,71;63,31;63,55;3291613
FTNTu;02/01/24;58,10;58,77;57,35;57,78;5434776
GEHCu;02/01/24;76,58;77,41;75,71;76,37;1994116
GILDu;02/01/24;80,91;83,76;80,87;83,24;7010000
GOOGu;02/01/24;139,60;140,615;137,74;139,56;20056400
GOOGLu;02/01/24;138,55;139,45;136,48;138,17;23711220
HONu;02/01/24;208,86;210,605;208,32;209,00;2924715
IDXXu;02/01/24;548,40;554,92;542,00;547,69;384300
ILMNu;02/01/24;137,89;139,55;135,62;137,61;2178300
INTCu;02/01/24;49,20;49,38;47,4527;47,80;45280224
INTUu;02/01/24;622,25;623,06;599,63;603,76;1650000
ISRGu;02/01/24;333,00;336,20;328,38;330,98;1379200
KHCu;02/01/24;37,03;38,32;36,98;38,12;11570000
KLACu;02/01/24;573,21;573,21;553,65;560,39;967200
LINu;02/01/24;409,78;411,73;406,70;409,58;1571861
LRCXu;02/01/24;76,875;76,9001;74,207;74,93;11128000
LULUu;02/01/24;508,57;508,92;502,15;505,38;1180000
MARu;02/01/24;225,50;227,18;220,59;221,84;1520000
MCHPu;02/01/24;89,14;89,52;85,83;86,56;6584200
MDBu;02/01/24;404,45;404,65;382,26;383,69;2174900
MDLZu;02/01/24;72,37;73,96;72,37;73,84;6290000
MELIu;02/01/24;1562,61;1562,61;1518,12;1529,16;350379
METAu;02/01/24;351,32;353,16;340,02;346,29;18046566
MNSTu;02/01/24;57,52;58,81;57,37;58,59;8149916
MRNAu;02/01/24;99,88;115,68;99,40;112,50;14410000
MRVLu;02/01/24;59,46;59,76;57,55;58,17;8880000
MSFTu;02/01/24;373,86;375,90;366,77;370,87;25229600
MUu;02/01/24;84,00;84,075;81,75;82,34;13553990
NFLXu;02/01/24;483,185;484,44;461,86;468,50;5039367
NVDAu;02/01/24;49,244;49,295;47,595;48,168;410278000
NXPIu;02/01/24;227,26;227,26;218,57;221,18;2660000
ODFLu;02/01/24;403,31;407,05;394,21;397,74;575260
ONu;02/01/24;82,77;83,72;80,28;81,45;7780000
ORLYu;02/01/24;948,89;965,68;943,33;944,98;395900
PANWu;02/01/24;291,94;292,12;284,83;288,92;2880300
PAYXu;02/01/24;118,84;119,09;117,32;117,87;1934231
PCARu;02/01/24;97,03;97,85;96,41;96,78;2189804
