1A0.SI	Katrina Group Ltd.
1A1.SI	Wong Fong Industries Limited
1A4.SI	Agv Group Limited
1AZ.SI	Audience
1B0.SI	Mm2 Asia Ltd.
1B1.SI	Hc Surgical Specialistslimited
1B6.SI	Ocean Sky International Ltd
1C0.SI	Cedar Strategic Holdings Ltd
1D0.SI	Kimly Limited
1D1.SI	Unusual Limited
1D3.SI	Lifebrandz Ltd.
1D4.SI	Aoxin Q & M Dental Grp Limited
1D5.SI	Capital World Limited.
1E3.SI	Sanli Environmental Limited
1F0.SI	Shopper360 Limited
1F1.SI	Y Ventures Group Ltd.
1F2.SI	Union Gas Holdings Limited
1F3.SI	Aspen (group) Holdings Limited
1G1.SI	Re&s Holdings Limited
1H2.SI	Olive Tree Estates Limited
1H3.SI	Clearbridge Health Limited
1H8.SI	Ly Corporation Limited
1J0.SI	Slb Development Ltd.
1J4.SI	Jep Holdings Ltd.
1J5.SI	Hyphens Pharma Intl Limited
1J7.SI	Jawala Inc.
1L2.SI	Hiap Seng Ind
1M8W.SI	Meituan 5xlongub251128
1MZ.SI	Namcheong
1Q8W.SI	Nasdaq 7xshortub250623
1R6.SI	Avi-tech Hldg
1V3.SI	Mooreast
1X5W.SI	Aia 5xshortub250430
1XZW.SI	Wilmar Mb Ecw241002
1Y1.SI	Vikingoffshore
1ZXW.SI	Hsi 17800mbepw241128
40B.SI	Smj International Holdingsltd.
40E.SI	Spackman Entertainment Grp Ltd
40F.SI	Alliance Mineral Assetslimited
40N.SI	Versalink Holdings Limited
40T.SI	Isec Healthcare Ltd.
40V.SI	Singapore Edevelopment Ltd
40W.SI	Zico Holdings Inc.
41B.SI	Huationg Global Limited
41F.SI	Gss Energy Limited
41H.SI	Blackgold Natural Resourcesltd
41O.SI	Lhn Limited
41T.SI	Gccp Resources Limited
42C.SI	Ix Biopharma Ltd.
42D.SI	Nauticawt Limited
42E.SI	Choo Chiang Holdings Ltd.
42F.SI	Cmc Infocomm Limited
42L.SI	Tlv Holdings Limited
42N.SI	Ips Securex Holdings Limited
42R.SI	Jumbo Group Limited
42S.SI	Astaka Holdings Limited
42T.SI	The Trendlines Group Ltd.
42W.SI	China Star Food Group Limited
42Z.SI	Eindec Corporation Limited
43A.SI	Gs Holdings Limited
43B.SI	Secura Group Limited
43E.SI	Anchor Resources Limited
43F.SI	Acromec Limited
43Q.SI	Advancer Global Limited
44RW.SI	Kepcorp 5xshortub250530
45IW.SI	Cmb 5xlongub250430
45YW.SI	Hsi 18600mbepw241128
46CW.SI	Zixin W260623
47GW.SI	Alibaba Mb Epw241203
47JW.SI	Sgx Mb Epw241002
48QW.SI	Hscei 7xshortsg261105
49B.SI	Amos Group
49CW.SI	Tencentmbecw250402
500.SI	Tai Sin Electric Limited
504.SI	Klw Holdings Ltd
505.SI	Asiamedic Limited
508.SI	Fuji Offset Plates Mfg Ltd
50OW.SI	Hsi 22000mbecw241230
51AW.SI	Djia 42000mbecw241220
528.SI	Second Chance Properties Ltd
52PW.SI	Netease 5xshortsg250320
532.SI	DISA
533.SI	Abr Holdings Limited
540.SI	Tung Lok Restaurants 2000 Ltd
541.SI	Craft Print International Ltd
543.SI	Noel Gifts International Ltd
544.SI	Cse Global Ltd
546.SI	Medtecs International Corp Ltd
554.SI	King Wan Corporation Limited
558.SI	Ums Holdings Limited
55YW.SI	Hkex Mb Epw250103
564.SI	Spindex Industries Limited
566.SI	See Hup Seng Limited
569.SI	Vicplas International Ltd
56DW.SI	Geely 5xlongub250930
56IW.SI	Dbs Mb Ecw250113
56QW.SI	Alibaba 5xshortsg260513
570.SI	Transit-mixed Concrete Ltd
575.SI	Asti Holdings Limited
579.SI	Oceanus Group Limited
57GW.SI	Nky 41000mbepw241213
580.SI	Santak Holdings Limited
581.SI	Ite Electric Co Ltd
583.SI	Progen Holdings Ltd
584.SI	Oakwell Engineering Limited
585.SI	Asian Micro Holdings Ltd
594.SI	Loyz Energy Limited
595.SI	Van Der Horst Energy Limited
596.SI	Thai Village Holdings Ltd
5AB.SI	Trek 2000 Int'l Ltd
5AE.SI	Pollux Properties Ltd.
5AI.SI	Sunlight Group Hldg Ltd
5AL.SI	Annica Holdings Limited
5AU.SI	Ap Oil International Limited
5B5W.SI	S&p 5350mbepw241220
5BI.SI	Carriernet Global Ltd
5BS.SI	Pne Micron Holdings Ltd
5C6W.SI	Tencentmbecw241104
5CF.SI	Okp Holdings Limited
5CP.SI	Silverlake Axis Ltd
5CR.SI	Asiatic Group (holdings) Ltd
5CT.SI	Ecowise Holdings Limited
5DD.SI	Micro-mechanics (holdings) Ltd
5DM.SI	Ying Li Intl Real Estate Ltd
5DN.SI	Ezra Holdings Limited
5DO.SI	Sakae Holdings Ltd.
5DP.SI	Heeton Holdings Limited
5DS.SI	Megachem Limited
5DX.SI	Metal Component Engg Ltd
5E2.SI	Seatrium Ltd
5EB.SI	Cfm Holdings Limited
5EF.SI	Adventus Holdings Limited
5EG.SI	New Lakeside Holdings Limited
5EN.SI	Midas Hldgs Limited
