Au;29/06/23;116,16;118,25;116,07;118,05;1885350
AALu;29/06/23;17,64;17,98;17,53;17,60;20269752
AAPLu;29/06/23;189,08;190,07;188,94;189,59;45331828
ABBVu;29/06/23;132,37;133,91;132,13;133,23;4892178
ABNBu;29/06/23;127,64;127,87;123,42;125,10;4238823
ABTu;29/06/23;107,03;107,86;106,97;107,66;3254077
ACNu;29/06/23;301,40;310,57;300,10;308,33;2739388
ADBEu;29/06/23;484,47;485,83;479,60;483,77;1904302
ADIu;29/06/23;189,80;190,66;187,60;189,48;2533671
ADMu;29/06/23;73,96;75,73;73,96;74,62;2084166
ADPu;29/06/23;216,10;219,48;214,29;216,46;1448549
ADSKu;29/06/23;207,02;210,50;205,36;206,18;1104254
AEEu;29/06/23;80,21;81,48;79,94;80,99;781069
AEPu;29/06/23;81,17;83,67;80,7925;83,26;4874934
AESu;29/06/23;20,06;20,50;20,00;20,43;3253977
AFLu;29/06/23;68,45;69,21;68,34;69,12;1488523
AIGu;29/06/23;56,59;57,40;56,55;57,20;3862460
AIZu;29/06/23;124,18;125,395;123,785;124,52;379401
AJGu;29/06/23;210,94;214,78;210,86;214,67;822648
AKAMu;29/06/23;88,66;89,265;88,41;89,19;997033
ALBu;29/06/23;217,13;219,62;215,62;218,98;1583651
ALGNu;29/06/23;345,00;349,6661;337,76;341,79;552834
ALLu;29/06/23;109,07;109,43;108,62;109,09;1416940
ALLEu;29/06/23;118,00;119,63;118,00;119,58;535529
AMATu;29/06/23;144,69;145,245;143,51;144,23;3916548
AMCRu;29/06/23;9,75;9,91;9,67;9,90;5053806
AMDu;29/06/23;112,065;112,7599;109,84;111,24;58147756
AMEu;29/06/23;158,57;160,54;158,03;160,14;655843
AMGNu;29/06/23;219,62;221,64;218,89;221,16;1860250
AMPu;29/06/23;327,11;332,08;326,74;331,59;397785
AMTu;29/06/23;189,81;193,02;188,6801;192,73;2649610
AMZNu;29/06/23;128,77;129,26;127,255;127,90;40449552
ANETu;29/06/23;157,11;159,96;155,195;159,29;2255755
ANSSu;29/06/23;324,05;326,36;322,295;326,05;304676
AONu;29/06/23;334,00;342,34;332,9451;342,12;1023878
AOSu;29/06/23;71,91;72,84;71,91;72,38;628113
APAu;29/06/23;33,20;33,96;33,17;33,92;3151379
APDu;29/06/23;289,94;295,29;288,60;294,75;567003
APHu;29/06/23;41,31;41,75;41,255;41,725;4090516
APTVu;29/06/23;101,95;102,45;100,56;100,89;1129682
AREu;29/06/23;110,50;113,38;110,259;113,37;950868
ATOu;29/06/23;114,85;115,99;114,63;115,70;805449
AVBu;29/06/23;184,84;188,51;184,04;188,04;556419
AVGOu;29/06/23;854,45;862,84;846,41;862,57;2103968
AVYu;29/06/23;164,22;168,47;163,83;167,99;404021
AWKu;29/06/23;139,99;141,49;139,01;140,47;855174
AXPu;29/06/23;170,58;172,31;170,32;172,08;2895333
AZOu;29/06/23;2425,88;2467,63;2425,88;2455,40;140864
BAu;29/06/23;211,12;213,22;210,23;211,83;3441059
BACu;29/06/23;28,50;29,00;28,40;28,66;67871320
BAXu;29/06/23;44,64;44,92;43,965;44,70;4764850
BBWIu;29/06/23;36,93;37,85;36,72;37,84;2414636
BBYu;29/06/23;82,33;83,49;82,15;83,21;1626930
