AAB.TO	Aberdeen International Inc
AAUC.TO	Allied Gold Corporation
AAV.TO	Advantage Oil & Gas Ltd
ABX.TO	Barrick Gold Corp
AC.TO	Air Canada
ACAA.TO	Arrow Canadian Advantage Alternative Class
ACB.TO	Aurora Cannabis Inc
ACD.TO	Accord Financial
ACQ.TO	Autocanada Inc
ACX.TO	Act Energy Technologies Ltd
ADCO.TO	Adcore Inc
ADEN.TO	Adentra Inc
ADN.TO	Acadian Timber Corp
AEG.TO	Aegis Brands Inc
AEM.TO	Agnico Eagle Mines Ltd
AFN.TO	Ag Growth International Inc
AG.TO	First Majestic Silver Corp
AGG.TO	Evolve CDN Aggrgt Bond Enhd Yld Fund ETF
AGI.TO	Alamos Gold Inc Cls A
AI.TO	Atrium Mortgage Investment Corp
AIDX.TO	Healwell Ai Inc. Class A
AIF.TO	Altus Group Ltd
AIGO.TO	Global X Artificial Intelligence & Techn
AII.TO	Almonty Industries Inc
AIM.TO	Aimia Inc
AKTAF	Akita Drilling Ltd Cl A NV
ALA.TO	AltaGas Ltd
ALC.TO	Algoma Central
ALS.TO	Altius Minerals Corp
ALYA.TO	Alithya Group
AMAX.TO	Hamilton Gold Producer Yld Maximizer ETF
AMC.TO	Arizona Metals Corp
AMHE.TO	Harvest Amazon Enhanced High Inc Shs ETF
AMM.TO	Almaden Minerals Ltd
AMZH.TO	Harvest Amazon High Income Shares ETF (C
AND.TO	Andlauer Healthcare Group Inc
ANRG.TO	Anaergia Inc
AOI.TO	Africa Oil Corp
AOT.TO	Ascot Resources Ltd
APLI.TO	Appili Therapeutics Inc
APS.TO	Aptose Biosciences Inc
AQN.TO	Algonquin Power and Utilities Corp
ARA.TO	Aclara Resources Inc
ARB.TO	Accelerate Arbitrage Fund ETF
ARE.TO	Aecon Group Inc
ARG.TO	Amerigo Resources Ltd
ARIS.TO	Aris Gold Corporation
ARR.TO	Altius Renewable Royalties Corp
ARTI.TO	Evolve Artificial Intelligence Fund
ARX.TO	Arc Resources Ltd
ASCU.TO	Arizona Sonoran Copper Company Inc
ASM.TO	Avino Silver and Gold Mines Ltd
ASND.TO	Ascendant Resources Inc
ASTL.TO	Algoma Steel Group Inc
ATCU.TO	Candente Copper Corp
ATD.TO	Alimentation Couche-Tard Inc.
ATH.TO	Athabasca Oil Corp
ATRL.TO	Snc-Lavalin Group Inc
ATS.TO	Ats Corp
ATSX.TO	Accelerate Enhanced CDN Bm Alt Fund ETF
ATZ.TO	Aritzia Inc
AUMN.TO	Golden Minerals Company
AVCN.TO	Avicanna Inc
AVL.TO	Avalon Advanced Materials Inc
AVNT.TO	Avant Brands Inc
AW.TO	A W Food Services of Canada Inc
AXIS.TO	Axis Auto Finance Inc
AYA.TO	Aya Gold and Silver Inc
BABY.TO	Else Nutrition Holdings Inc
BAM.TO	Brookfield Asset Management Ltd
BANK.TO	Evolve CDN Banks Lifecos Enh Yld Idx ETF
BASE.TO	Evolve Glob Matls Mining Enh Yld Idx ETF
BB.TO	Blackberry Ltd
BBUC.TO	Brookfield Business Corporation
BCE.TO	BCE Inc
BCT.TO	Briacell Therapeutics Corp
BDGI.TO	Badger Infrastructure Solutions Ltd
BDI.TO	Black Diamond Group Ltd
BDIV.TO	Brompton Global Dividend Growth ETF
BDT.TO	Bird Construction Inc
BEPC.TO	Brookfield Renewable Corp
BEPR.TO	Brompton Flaherty & Crumrine Enhanced IN
BESG.TO	Invesco ESG CDN Core Plus Bond ETF
BFIN.TO	Brompton Na Financials Dividend ETF
BGC.TO	Bristol Gate Concentrated CDN Eqty ETF
BGU.TO	Bristol Gate Concentrated US Eqty ETF
BHC.TO	Bausch Health Companies Inc
BIPC.TO	Brookfield Infrastructure Corp
BIR.TO	Birchcliff Energy Ltd
BITF.TO	Bitfarms Ltd
BITI.TO	Betapro Inverse Bitcoin ETF
BK.TO	Canadian Banc Corp
BKCC.TO	GX Equal Weight CDN Bank Cvrd Call ETF
BKCL.TO	GX Enhanced Equal Weight CDN Banks Cvrd Call ETF
BKI.TO	Black Iron Inc
BLCK.TO	First Trust Indxx Innov Trans Proc ETF
BLCO.TO	Bausch Lomb Corporation
BLDP.TO	Ballard Power Systems Inc
BLN.TO	Blackline Safety Corp
BLOV.TO	Brompton Na Low Volatility Dividend ETF
BLX.TO	Boralex Inc
BMAX.TO	Brompton Enhanced Multi Asset Income ETF
BMO.TO	Bank of Montreal
BN.TO	Brookfield Corporation
BNC.TO	Purpose CDN Financial Income Fund ETF
BND.TO	Purpose Tactical Inv Grade Bond ETF
BNE.TO	Bonterra Energy Corp
BNG.TO	Bengal Energy Ltd
BNK.TO	Big Banc Split Corp Cl A
BNKL.TO	GX Enhanced Equal Weight Banks Idx ETF
BNS.TO	Bank of Nova Scotia
BNT.TO	Brookfield Wealth Solutions Ltd
BOND.TO	Evolve Enhanced Yield Bond Fund ETF
BOS.TO	Airboss America J
BPRF.TO	Bf and Crumrine Invest Grade Pref ETF
BR.TO	Big Rock Brewery Inc
BRAG.TO	Bragg Gaming Group Inc
BRE.TO	Bridgemarq Real Estate Services Inc
BREA.TO	Brompton Global Real Assets Dividend ETF
BRMI.TO	Boat Rocker Media Inc
BRY.TO	Bri Chem Corp
BSKT.TO	Manulife Smart Core Bond ETF
BSX.TO	Belo Sun Mining Corp
BTCC.TO	Purpose Bitcoin ETF Currency Hgd
BTCQ.TO	3iQ Coinshares Bitcoin ETF
BTCY.TO	Purpose Bitcoin Yield ETF
BTE.TO	Baytex Energy Corp
BTO.TO	B2Gold Corp
BU.TO	Burcon Nutrascience Corp
BUI.TO	Buhler Ind
BXF.TO	CI 1 To 5 Yr Lad Gov Stp Bd ETF
BYD.TO	Boyd Group Services Inc
BYL.TO	Baylin Technologies Inc
CACB.TO	CIBC Active Invst Grade Corp Bond ETF
CAE.TO	Cae Inc
CAFR.TO	CIBC Act Invst Grade Float Rate Bond ETF
CAGG.TO	CI Yield Enh CDN Agrt Bond ETF
CAGS.TO	CI Yld Enh CDN ST Agg Bd Idx ETF
CALL.TO	Evolve US Banks Enhanced Yield ETF
CANL.TO	GX Enhanced S&P/Tsx 60 Index ETF
CAPG.TO	Capital Group Global Equity Select ETF
CAPI.TO	Capital Group International Equity Select ETF
CAPM.TO	Capital Group Multi-Sector Income Select ETF
CAPW.TO	Capital Group World Bond Select ETF
CARB.TO	GX Carbon Credits ETF
CARS.TO	Evolve Automobile Innovation Idx Hgd ETF
CAS.TO	Cascades Inc
CASH.TO	GX High Interest Savings ETF
CBAL.TO	CI Balanced Asset Allocation ETF
CBCX.TO	CI Galaxy Blockchain ETF
CBGR.TO	CI Balanced Growth Asset Allocation ETF
CBH.TO	Ishares 1-10 Yr Laddered Corp Bond ETF
CBIL.TO	GX 0-3 Month T-Bill ETF
CBIN.TO	CI Balanced Income Asset Allocation ETF
CBND.TO	Manulife Smart Corporate Bond ETF
CBNK.TO	Mulvihill Canadian Bank Enhanced Yield E
CBO.TO	Ishares 1-5Yr Laddered Corp Bond ETF
CBUG.TO	CI Digital Security ETF
CCA.TO	Cogeco Communications Inc
CCBD.TO	CI U.S. Aggregate Bond Covered Call ETF
CCBI.TO	CIBC Canadian Bond Index ETF
CCEI.TO	CIBC Canadian Equity Index ETF
CCM.TO	Canagold Resources Ltd
CCNS.TO	CIBC Conservative Fixed Income Pool ETF
CCNV.TO	CI Conservative Asset Allocation ETF
CCO.TO	Cameco Corp
CCOM.TO	CI Auspice Broad Commodity ETF
CCRE.TO	CIBC Core Fixed Income Pool ETF
CDEF.TO	Manulife Smart Defensive Equity ETF
CDIV.TO	Manulife Smart Dividend ETF
CDLB.TO	CI Doubleline Total Return Bnd US HD ETF
CDNA.TO	CI Bio Revolution ETF
CDR.TO	Condor Energies Inc
CDZ.TO	Ishares S&P TSX CDN Dividend ETF
CEE.TO	Centamin Plc
CEF.TO	Sprott Physical Gold Silver Trust
CEMI.TO	CIBC Emerging Markets Equity Index ETF
CEMX.TO	Cematrix Corporation
CEQT.TO	CI Equity Asset Allocation ETF
CEU.TO	Ces Energy Solutions Corp
CEW.TO	Ishares Equal Weight Banc Lifeco ETF
CF.TO	Canaccord Genuity Group Inc
CFF.TO	Conifex Timber Inc
CFLX.TO	CIBC Flexible Yield ETF Hedged
CFP.TO	Canfor Corp
CFRT.TO	CI Floating Rate Income Fund
CFW.TO	Calfrac Well Services Ltd
CFX.TO	Canfor Pulp Products Inc
CG.TO	Centerra Gold Inc
CGAA.TO	CI Glb Asset Allocation ETF
CGBI.TO	CIBC Global Bond Ex Can Idx ETF
CGDV.TO	CI Global Min Downside Vol Index ETF
CGG.TO	China Gold Int Resources Corp
CGHY.TO	CI Global High Yld Cdt Pvt Pool ETF
CGI.TO	CDN General Inv
CGIN.TO	CI Global Investment Grade ETF
CGL.TO	Ishares Gold Bullion ETF Hdg
CGLO.TO	CIBC Global Growth ETF
CGO.TO	Cogeco Inc Sv
CGR.TO	Ishares Global Real Estate ETF
CGRA.TO	CI Global Real Asset Private Pool ETF
CGRB.TO	CI Global Green Bond Fund ETF
CGRE.TO	CI Global REIT Private Pool ETF
CGRN.TO	CI Gbl Susble Infra Fund ETF
CGRO.TO	CI Growth Asset Allocation ETF
CGX.TO	Cineplex Inc
CGXF.TO	CI Gld Giants Cvr Call ETF
CGY.TO	Calian Group Ltd
CHPS.TO	GX Semiconductor Index ETF
CHR.TO	Chorus Aviation Inc
CIA.TO	Champion Iron Ltd
CIAI.TO	CI Global Artificial Intelligence ETF
CIBR.TO	First Trust Nasdaq Cybersecurity ETF
CIC.TO	CI Can Banks Cov Call Income Class ETF
CIEH.TO	CIBC International Equity Index ETF
CIEI.TO	CIBC International Equity Index ETF
CIEM.TO	CI Emerging Markets Alpha ETF
CIF.TO	Ishares Global Infrastructure Index ETF
CIGI.TO	Colliers International Group Inc
CINF.TO	CI Global Infrastructure Pvt Pool ETF
CINT.TO	CIBC International Equity ETF
CINV.TO	CI Global Alpha Innovation ETF
CIX.TO	CI Financial Corp
CJ.TO	Cardinal Energy Ltd
CJT.TO	Cargojet Inc
CKI.TO	Clarke Inc
CLF.TO	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG.TO	Ishares 1-10 Yr Ladder Govt Bond ETF
CLML.TO	CI Global Climate Leaders Fund ETF
CLS.TO	Celestica Inc Sv
CM.TO	Canadian Imperial Bank of Commerce
CMAG.TO	CI Munro Alt Global Growth Fund
CMAR.TO	CI Marret Alt Absolute Return Bond Fund
CMDO.TO	CI Alternative Diversified Opp ETF
CMEY.TO	CI Marret Alternative Enhanced Yield ETF
CMG.TO	Computer Modelling Group Ltd
CMGG.TO	CI Munro Global Gwth Equity Fund ETF CAD
CMNY.TO	CI Money Market ETF
CMOM.TO	CI US Enhanced Momentum Ind Heg ETF
CMR.TO	Ishares Premium Money Market ETF
CMVX.TO	CI Galaxy Metaverse Index ETF
CNAO.TO	CI Alternative Na Opps Fund ETF
CNCC.TO	GX S&P/Tsx 60 Covered Call ETF
CNCL.TO	GX Enhanced S&P/Tsx 60 Covered Call ETF
CNDX.TO	Global X S&P/Tsx 60 Index ETF Class A Un
CNE.TO	Canacol Energy Ltd
CNL.TO	Collective Mining Ltd
CNQ.TO	Canadian Natural Resources Ltd.
CNR.TO	Canadian National Railway Co.
CNT.TO	Century Global Commodities Corp
COG.TO	Condor Gold Plc
COMM.TO	BMO Global Communications Index ETF
COPP.TO	GX Copper Producers Index ETF
COPR.TO	Coppernico Metals Inc.
CORE.TO	Pimco Canadian Core Bond Fund
COW.TO	Ishares Global Agri Index ETF
CP.TO	Canadian Pacific Kansas City Ltd
CPD.TO	Ishares S&P TSX CDN Pref ETF
CPH.TO	Cipher Pharmaceuticals Inc
CPLS.TO	CIBC Core Plus Fixed Income Pool ETF
CPX.TO	Capital Power Corp
CR.TO	Crew Energy Inc
CRDL.TO	Cardiol Therapeutics Inc
CRED.TO	CI Lawrence Park Alt Invest Grd Crdt ETF
CRON.TO	Cronos Group Inc
CROP.TO	Purpose Credit Opportunities Fund ETF
CRP.TO	Ceres Global Ag Corp
CRRX.TO	Carerx Corp
CRWN.TO	Crown Capital Partners Inc
CS.TO	Capstone Mining Corp
CSAV.TO	CI High Interest Savings ETF
CSBI.TO	CIBC CDN Short Term Bond Index ETF
CSCI.TO	Cosciens Biopharma Inc
CSU.TO	Constellation Software Inc
CTC.TO	Canadian Tire Corp Ltd
CTS.TO	Converge Technology Solutions Corp
CTX.TO	Crescita Therapeutics Inc
CU.TO	Canadian Utilities Ltd Cl A NV
CUBD.TO	CI Global Unconstrained Bond Fund ETF
CUD.TO	Ishares S&P US Div Growers ETF
CUDV.TO	CI U.S. Minimum Downside Volatility Index ETF
CUEH.TO	CIBC US Equity Index ETF
CUEI.TO	CIBC US Equity Index ETF
CURA.TO	Curaleaf Holdings Inc
CUTL.TO	CI Utilities Giants Covered Call ETF
CVD.TO	Ishares Convertible Bond Index ETF
CVE.TO	Cenovus Energy Inc
CVG.TO	Clairvest Group
CVLU.TO	CI US Enhanced Val Indx Heg ETF
CVO.TO	Coveo Solutions Inc
CWB.TO	CDN Western Bank
CWEB.TO	Charlotte's Web Holdings Inc
CWL.TO	Caldwell Partners International Inc
