A.H.V	Armor Minerals Inc
AAA.P.V	First Tidal Acquisition Corp
AAAJ.P.V	Aaj Capital 3 Corp.
AAG.V	Aftermath Silver Ltd
AAN.V	Aton Resources Inc
AAZ.V	Azincourt Energy Corp
AB.H.V	Asbestos Corp Ltd
ABA.V	Abasca Resources Inc
ABI.V	Abcourt Mines Inc
ABM.V	Aben Minerals Ltd
ABR.V	Arbor Metals Corp
ABRA.V	Abrasilver Resource Corp
ABZ.V	Asiabasemetals Inc
ACAP.P.V	Atlas One Capital Corporation
ACDC.V	Ac/Dc Battery Metals Inc.
ACR.H.V	Auscan Resources Inc
ACU.V	Aurora Solar Technologies Inc
ADD.V	Arctic Star Exploration Corp
ADE.V	Adex Mining Inc
ADG.H.V	Arcus Development Group Inc
ADJ.P.V	Ad4 Capital Corp
ADK.V	Diagnos Inc
ADR.H.V	Arcland Resources Inc
ADY.V	Adyton Resources Corp
ADYA.V	Adya Inc
ADZ.V	Adamera Minerals Corp
AE.V	American Eagle Gold Corp
AEC.V	Anfield Energy Inc
AEC.WT.V	Anfield Energy Inc
AEMC.V	Alaska Energy Metals Corp
AEP.V	Atlas Engineered Products Ltd
AERO.V	Aero Energy Ltd
AFCC.H.V	Automotive Finco Corp
AFE.V	Africa Energy Corp
AFM.V	Alphamin Resources Corp
AFR.V	African Metals Corp
AGH.H.V	Canadian Silver Hunter Inc
AGLD.V	Austral Gold Ltd
AGMR.V	Silver Mountain Resources Inc
AGMR.WT.A.V	Silver Mountain Resources Inc.
AGMR.WT.B.V	Silver Mountain Resources Inc.
AGT.V	Applied Graphite Technologies Corp
AGX.V	Silver X Mining Corp
AHR.V	Amarc Resources Ltd
AIP.U.V	Aip Realty Trust USD
AIR.V	Clean Air Metals Inc
AIS.V	Ais Resources Ltd
AISX.V	Aisix Solutions Inc
AIV.P.V	Apolo IV Acquisition Corp
AIVC.V	Ai Artificial Intelligence Ventures Inc
AJA.V	Aja Health and Wellness Inc
AKH.H.V	Alaska Hydro Corp
AKR.V	Ackroo Inc
AL.V	Alx Resources Corp
ALBT.P.V	Albatros Acquisition Corporation Inc
ALDE.V	Aldebaran Resources Inc
ALEX.V	Alpha Exploration Ltd
ALM.V	Alliance Mining Corp
ALT.V	Alturas Minerals Corp.
ALTA.V	Altamira Gold Corp
ALV.V	Alvopetro Energy Ltd
ALY.V	Analytixinsight Inc
AME.V	Abacus Mining and Exploration
AMG.P.V	Amg Acquisition Corp
AMK.V	American Creek Resources Ltd
AML.V	Akwaaba Mining Ltd
AMMO.V	Bullet Exploration Inc
AMRQ.V	Amaroq Minerals Ltd
AMT.V	Ameritrust Financial Technologies Inc
AMX.V	AMEX Exploration Inc
AMY.V	Recylico Battery Materials Inc
AMZ.V	Azucar Minerals Ltd
ANK.V	Angkor Resources Corp
ANOR.V	Anortech Inc
ANTL.V	Antler Gold Inc
APGO.V	Apollo Silver Corp
APL.V	Appulse Corp
APM.V	Andean Precious Metals Corp
APMI.V	Apogee Minerals Ltd
APN.V	Altiplano Minerals Ltd
APX.V	Apex Resources Inc
AQS.V	Aequus Pharmaceuticals Inc
ARC.V	Arcpoint Inc
ARCH.V	Arch Biopartners Inc
ARD.V	Armada Data Corp
ARGH.V	Argo Corporation
ARH.V	Altima Resources Ltd
ARIC.V	Awale Resources Ltd
ARJN.V	Aranjin Resources Ltd
ARK.V	Arras Minerals Corp
ARL.V	Aurum Lake Mining Corporation
AROW.P.V	Four Arrows Capital Corp
